"district","year","implant_women_old","implant_women_new","injection2_women_old","injection2_women_new","injection3_women_old","injection3_women_new","pill_women_old","pill_women_new","iud_women_old","iud_women_new","iud_number_dispensed","implant_number_dispensed","injection2_number_dispensed","injection3_number_dispensed","pill_number_dispensed","iud_number_received","implant_number_received","injection2_number_received","injection3_number_received","pill_number_received","iud_stock_end","implant_stock_end","injection2_stock_end","injection3_stock_end","pill_stock_end"
"ABENGOUROU",2018,3298,965,2997,749,10892,2609,1867,425,117,15,26,823,3681,7082,6893,673,2435,8799,12890,35961,,3167,,16041,48097
"ABENGOUROU",2017,2597,698,2125,588,9939,2480,1835,400,34,22,15,483,2894,6460,6339,544,1760,9920,12727,31260,,2617,,16403,41079
"ABENGOUROU",2016,865,408,2616,786,8407,2440,2675,439,20,24,19,438,3167,5394,5982,436,1503,11407,12666,28256,,1671,,8561,20878
"ABOBO EST",2018,4041,2234,2200,583,13504,3940,2959,673,383,180,155,2372,878,9512,5234,1154,3309,2241,9914,7426,,3092,,9359,9046
"ABOBO EST",2017,1954,2491,1768,214,10745,2389,3506,679,147,259,258,3066,1805,8939,6957,2780,4009,5846,11784,13191,,2596,,6359,11711
"ABOBO EST",2016,760,617,1989,348,8784,2008,3220,732,101,169,147,673,2056,12027,6919,2617,1124,4097,8381,15609,,,,,
"ABOBO OUEST",2018,1806,1568,8288,201,6586,1020,6923,326,803,142,908,1929,8318,5179,8922,3117,3269,28769,11085,46937,,2591,,9269,55790
"ABOBO OUEST",2017,2518,1635,6797,870,13464,1764,9350,1369,2722,536,1090,2085,5025,8996,12141,3342,5271,27150,28394,35613,,4330,,21156,93546
"ABOBO OUEST",2016,2435,1257,6623,626,9730,1324,9362,603,2497,889,1243,2427,7531,8520,13037,2934,9514,50103,42308,68118,,2875,,13670,28693
"ABOISSO",2018,1810,675,933,260,6997,1791,1606,304,27,5,21,663,963,3657,6091,45,1626,1538,4211,5638,,1921,,3918,5336
"ABOISSO",2017,399,461,1295,218,5972,1591,1629,341,135,15,25,458,1212,3280,3144,38,1195,2087,3991,7389,,1123,,2050,7225
"ABOISSO",2016,852,303,3104,345,6517,1502,2940,411,18,1,6,191,1661,2758,5783,135,578,3708,3630,38066,,,,,
"ADIAKE",2018,11,74,822,118,1710,359,339,58,,1,,55,753,1623,753,,135,1676,1490,1325,,80,,891,1071
"ADIAKE",2017,30,46,765,99,1674,667,282,60,1,2,,53,836,973,640,200,139,1827,1179,1464,,72,,635,785
"ADIAKE",2016,,25,701,149,1463,590,477,95,,14,52,74,1673,766,992,55,26,2041,959,2237,,,,,
"ADJAME-PLATEAU-ATTECOUBE",2018,5682,1586,3720,481,13913,1956,5286,630,444,98,527,2744,3787,9465,24048,707,6251,17291,20721,35675,,7474,,13930,33394
"ADJAME-PLATEAU-ATTECOUBE",2017,1891,1356,2681,279,8263,1458,3983,408,199,100,280,2226,3201,8830,10680,1050,5053,16800,20833,50076,,3829,,16098,47089
"ADJAME-PLATEAU-ATTECOUBE",2016,1382,515,3058,382,8387,1042,4386,358,345,71,264,829,3532,6895,11042,1424,3423,10913,20797,34111,,353,,1392,3229
"ADZOPE",2018,97,752,1469,220,3072,840,652,210,51,219,191,822,1937,3712,2213,213,1368,2162,5549,6892,,1610,,4711,9113
"ADZOPE",2017,23,344,1346,177,2702,806,555,177,13,15,17,304,1583,3054,2200,49,1030,2994,4510,5324,,979,,2884,5709
"ADZOPE",2016,7,182,1825,351,2316,763,632,309,9,13,19,407,2140,2895,3814,143,723,2955,3874,3782,,,,,
"AGBOVILLE",2018,2591,1025,1444,312,8395,1770,1890,276,593,236,208,958,1707,8971,3945,562,1441,2769,10060,8478,,1109,,3547,5679
"AGBOVILLE",2017,915,187,1712,308,6638,1474,1410,263,116,29,116,206,2017,7504,4444,29,377,3343,8661,8402,,329,,2560,5931
"AGBOVILLE",2016,57,96,1615,406,6765,1522,1709,278,11,3,,95,1955,7445,4780,12,249,3053,7685,7440,,,,,
"AGNIBILEKROU",2018,816,274,78,32,4546,678,1896,167,,1,,335,100,3164,1965,,846,248,2866,2607,,1199,,2222,3337
"AGNIBILEKROU",2017,347,272,84,30,2942,879,979,279,,,,264,94,3183,2465,6,669,414,2939,3256,,970,,3317,5554
"AGNIBILEKROU",2016,230,238,382,155,2350,680,1168,345,,10,2,242,477,2504,2994,50,566,844,2642,4617,,,,,
"AKOUPE",2018,1658,545,1252,227,2869,681,940,134,48,35,15,373,902,1729,958,103,923,2237,2432,1750,,607,,1297,1045
"AKOUPE",2017,123,214,1169,310,2200,511,733,223,12,2,,35,653,737,472,,29,720,670,414,,19,,271,145
"AKOUPE",2016,,18,1582,325,1569,343,800,108,,2,,,1224,203,511,,,1195,250,678,,,,,
"ALEPE",2018,12,122,669,164,2204,539,156,93,12,,2,37,826,1829,203,10,232,2891,4041,1403,,210,,2202,1550
"ALEPE",2017,,10,661,150,2090,556,118,33,,,,2,834,1886,318,,,1022,2213,402,,5,,1441,625
"ALEPE",2016,,139,948,211,1352,410,142,99,,7,7,124,985,1058,468,10,131,1292,1196,865,,,,24,
"ANYAMA",2018,75,1818,1932,342,4996,1076,1396,384,36,194,127,1734,2118,4106,2711,295,2126,3167,4523,4194,,1398,,3670,4657
"ANYAMA",2017,259,955,1918,473,4109,957,1255,347,42,176,71,706,1626,3331,2096,177,1068,2440,8964,3761,,743,,3477,5411
"ANYAMA",2016,299,2046,2077,489,3716,870,1392.7,1026.7,15,101,67,478,2042,2593,2632,141,684,3028,3126,6012,,,,,258
"ARRAH",2018,189,167,238,71,2402,593,327,58,,3,62,180,322,2515,1446,50,376,522,2112,4741,,437,,1286,4417
"ARRAH",2017,13,137,282,116,1663,390,377,63,,1,,131,418,1706,1107,,487,1013,1340,3410,,370,,792,3376
"ARRAH",2016,112,137,870,198,1784,374,522,89,1,2,18,153,1067,1558,1409,54,667,1553,1059,3481,,,,,
"BANGOLO",2018,2049,504,31,13,2790,796,84,14,,4,,345,33,1887,60,423,662,143,2208,56,,719,,941,275
"BANGOLO",2017,3629,368,70,48,2155,1023,112,87,42,13,2,339,85,1652,114,158,902,298,2116,498,,588,,893,523
"BANGOLO",2016,2094,430,131,60,2327,845,296,156,129,3,45,315,127,1530,1348,138,678,291,2543,22374,,11,,259,59
"BEOUMI",2018,661,1080,372,132,2457,998,490,175,2,207,5,386,506,2193,6148,,1175,1048,3027,17559,,2625,,2814,27221
"BEOUMI",2017,498,374,638,177,2309,641,547,104,,1,4,298,674,1664,4468,19,628,1143,2441,16756,,1034,,2600,41551
"BEOUMI",2016,476,464,1025,293,2067,548,1139,191,,,3,411,1034,1700,5547,35,1053,1833,2283,54793,,,,,
"BETTIE",2018,722,92,2094,158,5209,491,1081,117,46,1,1,55,585,443,786,,166,785,545,2317,,394,,677,5474
"BETTIE",2017,430,51,2085,292,4714,409,1033,126,13,,,35,924,922,1537,,31,1221,868,1507,,71,,1631,5561
"BETTIE",2016,58,23,1628,306,2931,462,668,101,1,1,5,23,778,988,821,12,35,1173,1562,2224,,,,,
"BIANKOUMA",2018,3085,495,42,76,4821,1207,421,71,194,36,8,366,87,2266,70,53,719,182,3898,154,,678,,2775,118
"BIANKOUMA",2017,709,448,22,38,2403,995,70,38,23,3,2,286,26,1972,73,126,657,106,3193,199,,481,,2116,159
"BIANKOUMA",2016,57,237,130,60,2118,824,65,44,3,,4,144,40,1541,104,70,360,101,2659,885,,48,,597,171
"BLOLEQUIN",2018,3610,848,112,111,4302,1679,586,291,114,47,,493,314,2670,451,,951,493,3119,824,,1112,,2706,1343
"BLOLEQUIN",2017,1128,472,94,68,3645,1925,602,301,1,1,13,383,109,3164,485,39,528,561,3965,705,,335,,1620,639
"BLOLEQUIN",2016,1175,884,99,88,4440,2100,1017,796,,,,973,186,3655,6782,42,965,383,3569,12721,,,,,
"BOCANDA",2018,43,145,1066,89,3194,568,290,70,,,,165,454,1723,5656,24,173,583,1608,4242,,351,,1434,10318
"BOCANDA",2017,87,88,440,122,1863,470,402,73,,1,,130,331,1418,2547,10,192,436,1319,927,,460,,2495,9711
"BOCANDA",2016,68,179,490,165,1278,458,422,125,,1,1,172,697,1005,808,6,181,752,1588,834,,,,,
"BONDOUKOU",2018,8248,902,1833,519,18204,3415,6329,705,379,96,30,1076,1254,10150,14612,1706,3745,6166,18384,24484,,4608,,15559,20918
"BONDOUKOU",2017,4824,1073,1222,400,10903,2984,4618,637,347,116,34,1185,1451,9513,14991,1955,3334,5413,20731,27413,,3888,,20761,39349
"BONDOUKOU",2016,1946,909,2306,334,7162,1998,3819,729,35,34,73,797,1025,6398,11729,795,2175,6913,14756,31294,,1332,,5507,29943
"BONGOUANOU",2018,1195,123,380,64,2828,741,303,265,19,10,109,135,287,2781,1732,,432,611,2965,3092,,456,,1364,4362
"BONGOUANOU",2017,921,144,339,80,1891,697,372,135,,,3,74,161,1631,1417,,180,315,1212,1939,,189,,772,1947
"BONGOUANOU",2016,429,73,641,145,1829,409,768,216,74,8,3,57,583,1237,2434,15,93,751,1261,3949,,,,,
"BOTRO",2018,1203,413,78,32,1272,544,155,77,3,,11,201,82,830,460,11,498,218,1158,1249,,681,,1520,1989
"BOTRO",2017,607,284,93,34,1049,507,159,75,1,1,,176,78,756,659,,445,112,949,1949,,688,,1151,1644
"BOTRO",2016,323,269,121,49,930,422,163,96,1,,,124,77,725,551,6,233,142,520,700,,,,,
"BOUAFLE",2018,576,3959,862,360,11332,3762,1751,499,44,124,197,3990,1119,13920,8090,407,4177,1419,14070,9394,,6944,,26788,19169
"BOUAFLE",2017,1131,1616,942,348,10332,3115,1331,580,90,129,144,1506,1388,10487,7933,189,2113,1380,11971,11207,,2768,,23403,19141
"BOUAFLE",2016,1186,1204,2109,497,8897,2539,1688,495,138,134,168,1072,2119,7889,7277,324,1568,2599,10239,7231,,,,,
"BOUAKE NORD-EST",2018,332,660,966,126,3740,1260,1057,187,43,34,1,418,841,3314,2714,20,540,796,3371,3024,,666,,3723,3855
"BOUAKE NORD-EST",2017,254,441,855,314,3458,1066,1173,280,18,30,,349,798,3207,2498,3,356,847,3514,2709,,458,,3584,3685
"BOUAKE NORD-EST",2016,18,266,1060,318,3433,1085,1160,293,,3,,230,1171,3985,3414,,315,1641,2641,3712,,,,,
"BOUAKE NORD-OUEST",2018,5029,1043,925,145,5059,1262,1683,414,,2,,898,478,3544,2490,296,1003,1133,3066,2793,,2638,,14215,10978
"BOUAKE NORD-OUEST",2017,3726,836,847,155,3832,944,1246,454,,17,8,694,523,2752,2400,243,829,938,4060,2785,,1021,,5850,7885
"BOUAKE NORD-OUEST",2016,2933,458,1023,217,4001,1061,1987,343,,2,2,208,821,2730,2958,,322,1152,2542,2780,,,,,
"BOUAKE-SUD",2018,5928,2151,2440,395,5530,1731,3611,624,157,92,15,982,797,4073,3118,863,1355,951,4497,4317,,3175,,9978,19407
"BOUAKE-SUD",2017,2364,1797,2078,341,6194,1914,4209,542,43,120,7,725,768,4016,2859,205,1089,1095,5600,4457,,1741,,7611,20101
"BOUAKE-SUD",2016,1136,1606,2600,462,6745,2152,4656,591,52,140,50,1072,1410,4701,5775,311,1077,6804,6283,10071,,,,,
"BOUNA",2018,154,598,252,184,2914,1816,319,240,,36,36,632,410,4246,1497,440,1301,1129,6226,2266,,1050,,4796,4839
"BOUNA",2017,17,246,469,193,2261,1241,131,90,1,2,2,245,643,3020,1322,61,481,835,4755,2763,,470,,5660,3509
"BOUNA",2016,7,136,701,297,1772,1202,128,107,5,6,1,117,960,1583,1354,103,80,932,1889,1571,,,,,
"BOUNDIALI",2018,1032,500,301,129,3477,1454,141,132,,,,1235,389,4021,562,1,10819,538,4986,909,,1497,,4815,1990
"BOUNDIALI",2017,271,260,224,100,3138,1931,104,357,,1,1,235,138,3315,631,20,372,257,4990,1004,,582,,2180,3739
"BOUNDIALI",2016,66,123,83,122,2299,1205,186,81,6,1,1,76,130,1730,877,,98,192,1909,342,,257,,980,1981
"BUYO",2018,1248,395,167,92,2047,734,176,102,35,6,9,435,254,2330,1043,5,1590,1607,4120,2533,,1476,,2184,2121
"BUYO",2017,824,337,142,76,1477,504,157,57,101,8,2,335,242,1736,503,4,773,799,2651,1533,,633,,1341,1358
"BUYO",2016,583,164,172,86,1358,379,187,63,48,1,8,218,264,1320,543,24,459,1561,1934,1235,,,,,
"COCODY - BINGERVILLE",2018,2624,1794,6228,1102,13215,2979,4093,769,360,166,146,1858,7248,11065,12053,379,3462,9804,12425,19575,,3215,,9022,17357
"COCODY - BINGERVILLE",2017,882,1224,9088,1414,10360,2803,3341,987,147,129,187,1252,7786,9649,11576,468,1150,8459,7372,11959,,1451,,4923,16847
"COCODY - BINGERVILLE",2016,793,587,4969,1320,8711,1777,3138,852,645,66,28,284,4521,5384,6658,112,274,5234,2696,10284,,,,,
"DABAKALA",2018,1473,703,41,15,6588,2028,292,98,2,208,28,733,13,7519,1612,66,1486,16,9061,3379,,1618,,4060,4110
"DABAKALA",2017,701,705,95,43,5189,2569,587,123,,3,29,742,144,7251,1760,15,1582,239,9330,4084,,1565,,4141,4053
"DABAKALA",2016,186,649,401,187,4862,1847,1641,350,,,,680,431,6399,3222,,807,1234,7240,4999,,208,,1024,2975
"DABOU",2018,269,860,2040,868,3828,1126,461,175,41,5,23,885,2874,4740,2546,55,1137,3300,4432,3066,,1890,,6374,10065
"DABOU",2017,387,1168,1063,281,4588,979,645,204,32,34,20,1117,1296,5185,4915,34,1131,1495,4994,4452,,969,,4899,7531
"DABOU",2016,384,749,3570,294,2755,553,823,92,21,18,38,988,3835,2523,3067,50,941,4264,2312,3624,,,,,
"DALOA",2018,3108,2759,4876,918,10617,2155,1711,385,312,343,360,2326,4633,6212,6128,108,3057,1776,6458,2850,,3780,,12020,12959
"DALOA",2017,2220,1796,1921,576,9131,2565,2297,464,392,183,293,1686,2205,9033,7230,20,2141,2409,8922,4144,,3016,,10769,10086
"DALOA",2016,1907,1379,2842,647,8852,2206,2144,425,520,187,300,1469,2996,8587,6439,82,1862,3646,8064,4099,,526,,2359,2650
"DANANE",2018,4111,632,1925,68,15152,1231,1183,145,98,15,11,507,94,2418,484,61,1015,264,4125,997,,976,,3269,843
"DANANE",2017,279,732,535,77,2312,1226,332,218,10,40,17,599,66,2223,423,100,1197,85,3450,869,,891,,2416,713
"DANANE",2016,300,570,576,256,3354,601,465,221,,1,11,850,792,3811,731,10,684,924,1434,1313,,,,5,
"DAOUKRO",2018,155,563,633,157,3426,1128,1641,373,,2,43,519,768,3436,3210,56,828,1363,4670,4827,,1693,,5352,5100
"DAOUKRO",2017,77,326,749,205,2901,879,1267,284,7,2,3,143,381,1304,1447,,165,786,1573,3549,,225,,1027,3145
"DAOUKRO",2016,156,156,953,267,2253,807,1486,401,,2,,137,1187,1663,5418,,214,1219,1281,7483,,,,,
"DIANRA",2018,30,208,53,54,634,264,5,2,,14,,205,86,442,79,,471,390,728,223,,285,,254,117
"DIANRA",2017,34,237,76,59,441,340,5,2,,22,,152,70,177,87,,382,255,419,225,,169,,163,116
"DIANRA",2016,38,167,52,31,274,125,8,,,31,,127,31,49,63,,304,154,166,243,,,,,
"DIDIEVI",2018,5018,116,125,8,10698,531,1515,78,,2,5,111,42,1418,741,7,264,277,3248,1257,,630,,3551,1989
"DIDIEVI",2017,3928,162,343,31,8416,571,999,138,17,1,3,137,169,1354,1857,45,296,904,2894,2856,,449,,3755,2561
"DIDIEVI",2016,2358,150,530,44,6065,491,848,100,21,2,1,150,446,1247,2052,6,395,1301,3115,3185,,122,,1349,383
"DIKODOUGOU",2018,39,174,141,79,830,383,7,4,,4,,211,218,1211,31,,371,602,1504,74,,311,,980,195
"DIKODOUGOU",2017,42,134,106,88,775,389,12,43,,1,,177,181,1136,57,,400,573,1507,73,,416,,1032,253
"DIKODOUGOU",2016,17,93,70,70,598,334,10,10,,,,108,216,906,24,,218,484,1285,60,,88,,448,50
"DIMBOKRO",2018,141,380,254,61,3428,825,985,239,41,37,18,457,308,3810,2302,120,961,905,4558,3323,,1866,,3372,2871
"DIMBOKRO",2017,266,258,376,95,2073,596,755,299,,10,8,255,421,2437,2221,,341,1350,2773,3717,,580,,4127,5012
"DIMBOKRO",2016,472,352,869,348,2103,1001,758,633,1,2,2,271,1147,1971,3150,,630,2622,2759,7487,,,,,1
"DIVO",2018,6284,2461,2134,349,12835,2365,3806,626,139,65,95,1500,907,6224,47544,125,1898,1034,6906,50973,,1608,,4048,38481
"DIVO",2017,2165,1145,1089,260,7074,1651,2106,408,78,14,49,1105,1148,5940,50638,,690,1071,5387,56788,,537,,2756,45928
"DIVO",2016,248,142,1106,300,3513,891,1307,312,24,2,22,101,1281,2394,32057,7,210,1971,3204,41572,,,,348,14070
"DOROPO",2018,198,237,94,74,1328,750,33,28,,,,205,134,1723,37,35,562,285,2892,170,,520,,1291,189
"DOROPO",2017,41,143,117,116,779,291,61,21,,10,,103,103,757,339,5,288,246,1186,870,,220,,458,629
"DOROPO",2016,18,128,78,56,456,247,72,62,,,,74,96,336,62,,93,157,393,86,,,,,
"DUEKOUE",2018,16764,1407,2138,261,19483,2805,3046,157,15,20,5,920,140,2753,1163,56,1563,663,5136,3964,,1512,,4923,5472
"DUEKOUE",2017,13884,987,2807,170,15411,2539,2218,207,352,49,49,570,348,3380,1673,77,1302,749,4703,3678,,1290,,3669,6674
"DUEKOUE",2016,7565,1097,2342,379,10421,1803,1863,339,211,14,17,322,557,2446,1772,139,734,2026,3276,2767,,148,,1138,3007
"FERKESSEDOUGOU",2018,1589,675,409,74,3079,1052,250,60,2,21,1,191,90,1100,151,1,237,437,1396,803,,200,,587,643
"FERKESSEDOUGOU",2017,45,655,449,86,2883,1044,234,56,,48,,404,459,2391,395,,488,1143,2994,1300,,366,,1369,907
"FERKESSEDOUGOU",2016,279,76,728,220,2860,997,155,35,,,,21,398,726,163,,30,1085,1393,1022,,,,,
"FRESCO",2018,2042,146,565,135,2550,619,347,101,59,,,232,335,1505,1021,,17,352,1153,1545,,421,,1406,3248
"FRESCO",2017,1218,135,926,189,2191,631,348,128,,2,25,150,575,1741,7150,37,188,205,1535,6133,,845,,1659,4661
"FRESCO",2016,739,188,769,192,1421,515,262,146,12,8,17,181,594,1452,1258,30,268,712,1828,815,,48,,789,367
"GAGNOA 1",2018,478,495,1450,452,6987,1906,1316,437,24,28,19,620,2205,6652,8875,961,1032,3495,7480,14878,,1041,,5506,12214
"GAGNOA 1",2017,334,294,1392,451,6291,1767,1175,314,23,15,22,322,2078,6346,8968,846,605,3736,8818,16001,,416,,3347,14372
"GAGNOA 1",2016,4,141,1487,543,6285,1745,1214,375,7,16,55,105,1755,7036,5003,36,200,2443,37416,5541,,,,,
"GAGNOA 2",2018,3789,521,206,118,3016,1074,518,137,11,13,1,415,170,2671,1658,52,935,770,3830,5224,,916,,1735,7789
"GAGNOA 2",2017,2650,462,169,68,2964,1149,543,201,23,25,14,445,173,2955,1083,87,909,1014,4325,2218,,408,,1350,1252
"GAGNOA 2",2016,1133,336,342,142,1867,796,442,171,15,6,10,289,427,1603,1602,29,501,946,2545,2354,,,,,
"GRAND-BASSAM",2018,289,777,2252,322,6396,1291,1454,232,185,133,378,832,2690,4180,5107,662,2006,4802,5712,6924,,3055,,10255,10127
"GRAND-BASSAM",2017,199,700,2806,616,5680,1621,1850,485,150,136,186,468,3171,4186,7501,876,776,4872,5634,9792,,1604,,8213,17845
"GRAND-BASSAM",2016,62,124,3833,924,4761,1161,3088,559,175,128,126,124,4453,2336,7960,538,402,8204,4130,14599,,,,,
"GRAND-LAHOU",2018,142,285,128,110,2244,752,306,109,3,1,4,359,163,1585,742,27,1260,686,2687,2187,,970,,1273,1971
"GRAND-LAHOU",2017,99,551,154,51,1774,520,239,195,12,7,19,767,168,1078,1453,4,816,736,1536,3659,,300,,1283,6014
"GRAND-LAHOU",2016,28,188,164,59,1603,416,203,92,,1,1,104,261,475,921,1,98,1196,665,2118,,,,,
"GUEYO",2018,461,277,51,26,1480,413,165,23,2,6,,236,68,1012,206,60,417,109,1491,503,,464,,821,534
"GUEYO",2017,386,328,85,45,1441,372,85,19,,8,,229,129,1240,147,55,338,304,1682,460,,329,,1117,434
"GUEYO",2016,90,243,207,125,1051,319,114,29,1,2,,218,401,954,219,,336,541,1607,634,,,,,
"GUIGLO",2018,1103,716,387,106,2774,999,446,82,67,16,22,843,427,3589,807,173,3396,3031,7985,5383,,3728,,9516,6761
"GUIGLO",2017,1059,654,265,81,2453,1037,314,167,15,26,9,468,286,3137,1095,88,1310,2399,7487,3866,,1202,,7594,5976
"GUIGLO",2016,135,529,272,160,2265,950,401,169,5,13,7,349,461,2834,1167,120,1189,2094,12356,3283,,311,,3626,1252
"GUITRY",2018,1397,143,78,38,2398,486,275,49,,6,6,110,95,1815,349,36,466,367,1997,819,,554,,614,544
"GUITRY",2017,1337,169,30,33,2059,512,222,49,,2,,85,61,1757,2198,60,229,283,2405,5085,,156,,863,2780
"GUITRY",2016,,71,73,34,1078,219,208,26,,10,10,37,73,920,2202,27,103,247,1378,10598,,,,26,534
"ISSIA",2018,21772,1890,190,42,12453,2276,3503,360,3482,89,44,567,40,1109,1281,351,1033,723,2140,2022,,591,,1421,1902
"ISSIA",2017,1437,1107,202,49,4396,1449,811,302,64,43,27,571,180,1025,1168,331,797,833,2209,3673,,224,,1194,2609
"ISSIA",2016,183,673,294,70,2981,1025,815,222,38,16,12,551,303,2420,1857,458,775,1290,3404,3884,,158,,536,392
"JACQUEVILLE",2018,43,57,631,175,1622,364,243,71,,1,2,48,714,1283,482,1,117,1071,1403,1744,,87,,386,1283
"JACQUEVILLE",2017,6,28,494,151,1435,405,125,50,,,7,28,559,1212,307,1,114,967,1378,837,,91,,321,689
"JACQUEVILLE",2016,2,130,803,176,831,271,189,67,,,9,42,918,602,358,8,209,1376,978,2069,,,,,
"KANI",2018,65,182,,,1122,258,2,1,11,9,13,99,,364,4,30,215,,460,43,,346,,725,66
"KANI",2017,57,146,12,8,1037,364,1,4,78,14,16,83,11,290,,5,36,,335,14,,105,,484,11
"KANI",2016,1,142,8,21,335,166,7,22,2,45,,25,15,102,2,,47,10,263,,,,,,
"KANIASSO",2018,1874,260,,,865,259,9,4,,,,36,,82,4,50,37,,76,1,,59,,69,17
