"district","year","implant_women_old","implant_women_new","injection2_women_old","injection2_women_new","injection3_women_old","injection3_women_new","pill_women_old","pill_women_new","iud_women_old","iud_women_new","iud_number_dispensed","implant_number_dispensed","injection2_number_dispensed","injection3_number_dispensed","pill_number_dispensed","iud_number_received","implant_number_received","injection2_number_received","injection3_number_received","pill_number_received","iud_stock_end","implant_stock_end","injection2_stock_end","injection3_stock_end","pill_stock_end"
"KANIASSO",2017,4809,356,39,1,2035,301,19,7,47,4,,91,,177,37,,164,,273,499,,100,,416,555
"KANIASSO",2016,1171,196,4,,1437,236,11,13,,1,,152,,547,145,,316,,831,419,,132,,354,16
"KATIOLA",2018,706,1038,326,97,3333,1006,221,97,,25,12,857,305,2311,833,35,1391,423,2384,1245,,1100,,1683,1490
"KATIOLA",2017,230,934,337,131,2934,983,169,74,,27,20,684,313,2016,651,75,1150,598,2784,1074,,826,,1667,865
"KATIOLA",2016,284,811,371,196,3106,1033,139,67,13,4,2,291,257,1624,252,1,527,426,2037,438,,,,,
"KONG",2018,211,169,259,41,1139,429,1,2,,,,15,11,49,,,33,32,107,,,25,,58,
"KONG",2017,714,110,421,73,1358,370,5,9,,1,,26,9,175,,10,49,53,292,,,25,,130,
"KONG",2016,78,23,526,112,1380,290,32,13,,,,13,109,96,18,,28,119,109,15,,,,,
"KORHOGO 1",2018,990,1856,5244,1562,13137,4625,2800,837,77,64,107,1944,5203,15915,5062,673,4066,9183,26063,10971,,3118,,10371,7991
"KORHOGO 1",2017,428,1528,5978,1203,14414,4525,2882,372,122,54,77,1440,3952,14094,1978,457,3807,10865,22264,13196,,3198,,10926,17150
"KORHOGO 1",2016,206,855,6531,910,11031,2864,1607,171,70,25,54,873,5701,11776,3112,260,2559,9515,16700,9516,,681,,3765,2784
"KORHOGO 2",2018,9,301,126,71,2100,646,27,8,1,,,320,205,2747,175,2,1207,796,4606,1967,,962,,2169,1799
"KORHOGO 2",2017,,213,141,36,1863,642,5,5,,5,,203,156,2400,66,,755,571,3857,1902,,723,,1887,1840
"KORHOGO 2",2016,13,222,96,53,1424,627,23,4,,1,6,168,120,1842,411,21,447,766,2505,900,,241,,728,296
"KORO",2018,1719,225,2,1,2231,378,189,108,,,,235,2,687,235,,470,2,2091,501,,560,,2135,520
"KORO",2017,786,157,3,2,1092,294,157,69,,,,167,3,822,1128,,345,53,2597,3423,,431,,2300,3501
"KORO",2016,332,77,21,8,471,168,70,14,,,,95,11,658,562,,223,49,819,916,,173,,292,707
"KOUASSI KOUASSIKRO",2018,35,13,132,31,303,96,88,40,,,,8,160,287,59,,44,229,348,96,,64,,304,78
"KOUASSI KOUASSIKRO",2017,8,5,55,11,254,89,78,43,,,,,56,331,77,,10,85,430,90,,15,,270,548
"KOUASSI KOUASSIKRO",2016,,,102,73,166,146,78,82,,6,6,,148,281,99,6,,218,316,165,,,,,
"KOUIBLY",2018,11179,795,1149,58,14090,1580,1156,197,80,6,4,393,76,2145,3390,6,742,110,3016,4210,,1685,,2508,8219
"KOUIBLY",2017,7011,682,832,89,7633,947,329,83,,7,,413,103,1814,2007,9,593,169,2607,4909,,670,,2124,7932
"KOUIBLY",2016,207,614,253,238,2097,864,227,69,,5,6,373,203,1820,3218,25,475,346,2280,10206,,221,,959,5116
"KOUMASSI",2018,457,964,5953,1094,4853,1308,4902,655,149,179,155,972,6271,3206,13406,1131,2542,23354,7690,57007,,2106,,4308,46012
"KOUMASSI",2017,919,1643,1760,290,6959,1606,5328,427,283,221,276,1298,1444,5919,13751,2082,3071,24698,17278,48806,,2631,,13675,40674
"KOUMASSI",2016,73,634,1536,322,5774,1484,6260,369,51,207,206,696,1850,5216,15667,1980,2803,19040,26495,37092,,,,,
"KOUN-FAO",2018,24,56,1042,168,4479,697,1042,162,16,3,16,57,482,2428,1752,32,405,1836,3028,2361,,267,,2255,3132
"KOUN-FAO",2017,20,53,1051,171,4084,832,1049,194,13,5,9,51,751,2365,1411,,189,1248,3241,2397,,261,,2570,3170
"KOUN-FAO",2016,3,121,717,217,3602,754,1197,186,9,11,11,123,496,2120,1210,14,150,766,3245,1683,,,,,
"KOUNAHIRI",2018,489,168,78,21,858,358,60,15,27,5,7,164,101,687,29,10,187,163,384,28,,365,,398,175
"KOUNAHIRI",2017,183,161,81,61,719,284,10,7,26,15,,153,121,424,22,,192,132,546,47,,427,,374,66
"KOUNAHIRI",2016,28,100,40,38,566,220,4,18,,,3,112,68,267,21,19,176,135,270,270,,,,,
"KOUTO",2018,53,368,276,128,1573,948,70,42,,,,355,338,1918,97,3,972,1232,3103,301,,788,,2066,211
"KOUTO",2017,49,278,119,120,1257,817,29,40,,,,279,232,1627,74,,939,1291,2916,602,,654,,1884,504
"KOUTO",2016,15,108,124,97,765,324,245,10,,,,67,192,698,42,,935,877,1020,218,,479,,350,88
"LAKOTA",2018,2452,566,1058,295,3362,859,884,116,55,17,46,415,976,1865,1516,,1034,1691,2723,3645,,1332,,2406,4230
"LAKOTA",2017,1913,479,609,229,3036,923,525,119,109,5,5,354,703,2101,1275,24,727,2650,2808,3603,,984,,2565,3426
"LAKOTA",2016,288,398,913,301,2236,727,309,230,13,4,6,313,1040,2054,1081,,438,2080,2114,3760,,260,,1662,3745
"M'BATTO",2018,277,101,57,9,2681,546,1276,170,,5,,53,67,1398,1175,,92,133,1474,1459,,168,,897,1450
"M'BATTO",2017,46,26,73,26,2062,373,728,131,,,12,4,102,1326,1010,,10,260,1220,1195,,26,,777,1077
"M'BATTO",2016,5,36,159,45,1351,407,489,113,,,24,,227,1033,2897,43,,629,1540,1913,,,,,
"M'BENGUE",2018,64,160,195,95,1573,849,35,15,,,20,166,297,2472,75,28,425,654,3636,545,,376,,1773,636
"M'BENGUE",2017,4,90,254,98,1629,554,26,17,,,,84,345,2200,171,,219,651,3041,130,,272,,2272,437
"M'BENGUE",2016,,50,203,113,1411,561,40,8,,2,28,47,303,1871,261,12,156,608,2445,129,,78,,920,47
"MADINANI",2018,4054,203,134,12,2122,110,40,4,208,4,,191,16,282,1428,,382,,330,32,,826,,704,1086
"MADINANI",2017,2424,242,41,10,1506,150,17,4,25,,,207,26,257,43,,292,70,397,75,,389,,580,388
"MADINANI",2016,333,215,77,17,612,157,81,44,12,3,5,187,26,273,75,8,282,161,374,216,,10,,35,
"MAN",2018,3592,1270,3918,544,7565,1880,1207,229,426,136,103,1005,1326,4420,2698,266,2012,2225,6081,7941,,1904,,4281,7492
"MAN",2017,1392,778,662,218,6726,1503,784,151,14,97,44,647,799,3620,4676,103,1315,1362,5341,11193,,1087,,3483,11619
"MAN",2016,702,882,482,252,5336,1424,660,226,,20,4,240,213,2268,2042,5,541,779,4188,3468,,,,,
"MANKONO",2018,3035,1361,28,41,1394,906,16,16,84,28,10,701,69,1735,37,70,1458,793,3067,393,,1090,,2017,5122
"MANKONO",2017,1171,563,67,51,1247,907,26,59,314,41,3,440,89,1449,12,42,904,192,2422,71,,545,,1370,2798
"MANKONO",2016,475,448,81,77,1129,823,114,33,20,9,40,260,140,1017,62,33,457,392,1280,225,,,,,
"MBAHIAKRO",2018,1214,115,132,44,1412,388,837,256,18,,,112,181,1573,1512,72,488,840,3655,4630,,791,,4647,15153
"MBAHIAKRO",2017,608,125,304,51,1349,393,1135,319,,,7,185,178,1393,1258,12,406,706,2743,3971,,516,,3684,5979
"MBAHIAKRO",2016,354,57,1050,160,3833,325,2454,278,12,7,,84,763,1089,1964,6,107,666,811,1577,,,,,
"MEAGUI",2018,726,1512,352,140,3730,1461,576,173,198,179,189,1665,619,4440,2531,680,3036,1712,6152,3800,,2340,,3416,2575
"MEAGUI",2017,722,789,183,80,2569,864,765,154,11,93,103,1018,416,3111,1962,573,2029,1504,4452,4215,,1805,,2937,3212
"MEAGUI",2016,236,390,278,84,1804,762,420,132,6,26,15,413,348,2213,1465,212,975,703,2698,2750,,,,,
"MINIGNAN",2018,5276,200,25,2,4763,187,5,5,,,,47,,106,,,132,,271,,,144,,255,490
"MINIGNAN",2017,5534,244,97,,4766,293,3,2,,,,119,,181,70,,174,,237,,,183,,239,315
"MINIGNAN",2016,1704,162,53,7,2022,273,1,2,114,23,3,161,1,442,35,,260,15,784,,,134,,258,1050
"NASSIAN",2018,3,196,82,62,743,632,142,57,,1,,218,123,1378,497,2,441,372,1987,1336,,505,,1324,1815
"NASSIAN",2017,21,101,7,19,288,370,153,53,,6,,128,21,608,479,,221,182,771,829,,199,,972,1671
"NASSIAN",2016,2,327,19,36,399,426,194,101,,,5,316,72,664,853,10,420,168,1235,2452,,98,,727,919
"NIAKARAMADOUGOU",2018,10978,1060,1358,43,22567,1485,1679,97,518,43,82,909,227,3186,2511,130,1875,1457,6972,103765,,2774,,3629,91257
"NIAKARAMADOUGOU",2017,12902,593,2964,57,23663,1259,2699,98,947,31,32,602,291,2988,1589,159,1038,1547,5960,77950,,1154,,4156,80849
"NIAKARAMADOUGOU",2016,23226,494,8627,104,34696,1099,7208,119,236,22,24,375,385,2812,502,236,549,1557,4018,1983,,,,,
"ODIENNE",2018,10567,907,98,22,10039,909,2152,68,18,1,,591,52,1637,678,,965,66,2625,1146,,1566,,3706,5207
"ODIENNE",2017,5635,1916,1307,123,5752,1051,1847,173,49,2,,573,92,1430,485,66,564,83,2346,758,,1281,,1905,2029
"ODIENNE",2016,539,362,630,166,1947,698,316,80,27,1,,192,240,1023,163,,267,204,1215,248,,20,,104,7
"OUANGOLODOUGOU",2018,400,374,936,350,475882,1465,110,76,160,32,,229,577,3406,49,,454,1639,4737,30,,1193,,4282,1598
"OUANGOLODOUGOU",2017,403,268,255,179,2902,1479,59,42,189,78,,157,252,2637,20,,334,372,3048,26,,206,,997,60
"OUANGOLODOUGOU",2016,168,297,401,279,2137,1050,113,96,81,54,1,180,342,1413,247,5,308,539,1593,385,,76,,346,44
"OUANINOU",2018,1302,126,12,3,2207,158,144,6,,,,55,,165,32,,81,,254,74,,97,,225,130
"OUANINOU",2017,949,111,19,2,1235,134,96,3,,,1,39,1,98,2,,111,11,206,92,,156,,231,137
"OUANINOU",2016,83,55,21,5,323,100,35,16,,2,,11,2,93,17,10,68,119,184,225,,45,,99,80
"OUME",2018,2115,334,1142,235,8200,1044,3588,182,145,7,5,374,691,3904,5155,89,1388,2070,6653,11648,,1217,,4540,9119
"OUME",2017,493,277,765,244,3579,1036,1194,264,9,40,19,225,672,3384,1567,98,595,1752,5090,4361,,474,,2257,3063
"OUME",2016,,58,1055,247,2169,728,848,251,,16,12,52,780,1490,1251,12,67,1190,1860,3713,,,,,
"PORT-BOUET-VRIDI",2018,568,719,2452,313,11088,1654,2110,296,228,159,456,986,3436,9564,4502,974,2865,11408,17096,27920,,3739,,14208,30203
"PORT-BOUET-VRIDI",2017,947,886,3059,392,6176,1374,1639,485,126,254,445,1206,5243,9080,4998,1417,1886,27444,22245,40773,,1751,,17326,42095
"PORT-BOUET-VRIDI",2016,442,162,2406,244,3902,1160,783,150,65,46,199,718,7035,7263,3270,1101,1952,26750,23786,89663,,,,,
"PRIKRO",2018,1182,211,114,6,2196,547,176,38,,,,147,13,1000,376,,627,54,1847,1154,,577,,1212,1396
"PRIKRO",2017,1284,231,89,29,2072,428,232,65,3,12,,195,45,939,559,,549,150,1629,2014,,360,,963,1558
"PRIKRO",2016,630,411,269,14,1569,487,489,78,1,2,2,325,81,1101,1321,14,560,317,1718,4034,,,,,
"SAKASSOU",2018,1024,499,607,146,2325,744,612,157,,14,8,396,637,2873,2764,43,523,878,2590,2761,,2337,,4306,4277
"SAKASSOU",2017,759,367,442,141,2076,660,680,159,1,19,11,340,660,2601,2026,38,571,929,3127,2859,,1347,,3144,7512
"SAKASSOU",2016,1449,345,359,110,1816,611,616,182,,6,,310,450,2094,2195,,1163,581,2085,2474,,,,,
"SAN-PEDRO",2018,2464,2613,5953,893,5778,2055,3543,516,133,124,159,2538,6574,6692,10523,851,5624,16321,16423,32557,,4629,,11379,25977
"SAN-PEDRO",2017,1380,3636,3273,546,8792,2844,3142,540,80,119,137,2425,3599,8786,11077,536,4553,9540,15497,32829,,3705,,10122,28025
"SAN-PEDRO",2016,1052,2053,5871,648,8192,2082,3661,540,106,80,173,1918,3766,7345,10454,656,3367,9249,13506,25094,,11,,64,28
"SANDEGUE",2018,,101,64,29,717,293,148,108,,15,15,92,70,951,395,105,582,250,1720,1370,,552,,1060,939
"SANDEGUE",2017,71,108,222,23,1076,424,173,100,,5,,101,77,1013,310,5,463,286,1575,729,,585,,1192,814
"SANDEGUE",2016,5,67,227,27,906,291,25,13,33,17,1,63,115,521,17,2,380,152,850,113,,117,,206,143
"SASSANDRA",2018,847,687,228,88,2555,1086,389,97,11,8,18,663,335,2954,875,30,1517,955,4075,2480,,1492,,2717,2218
"SASSANDRA",2017,1774,732,483,142,2376,934,207,145,10,12,4,613,499,2242,573,38,1328,1201,3425,1768,,1282,,2165,2020
"SASSANDRA",2016,84,787,613,293,2029,869,211,107,8,39,42,528,895,2343,517,58,1345,2488,3699,3552,,,,,
"SEGUELA",2018,855,597,220,69,2936,1222,449,98,14,70,42,557,137,2622,1744,90,1294,115,4057,2361,,1672,,6309,11828
"SEGUELA",2017,727,532,194,72,2670,1375,354,81,149,66,45,454,178,2774,754,70,724,252,4753,10308,,767,,5395,13450
"SEGUELA",2016,348,434,220,111,1900,1151,670,80,46,27,7,272,114,1186,796,12,437,324,2023,2360,,,,,
"SIKENSI",2018,148,153,734,195,1930,453,433,107,13,32,,205,829,2510,8114,,423,1475,3876,14475,,313,,1986,8552
"SIKENSI",2017,228,116,356,75,2401,637,479,101,,,,122,452,2623,6320,,172,1037,3474,10295,,121,,1472,5418
"SIKENSI",2016,29,139,961,235,1958,564,526,186,,,,138,1378,2422,3593,,153,1528,2640,4512,,,,,
"SINEMATIALI",2018,15,350,27,15,2582,677,3,16,,,6,346,39,2349,56,,506,89,3032,107,,431,,1426,167
"SINEMATIALI",2017,1,310,31,10,2535,686,11,16,,,,285,36,2407,37,,647,94,2789,100,,615,,1084,109
"SINEMATIALI",2016,,137,16,8,1463,510,12,4,,,,121,23,1734,126,,206,38,2026,164,,70,,520,36
"SINFRA",2018,467,798,690,254,4422,1404,1652,960,4,14,17,834,955,3932,4175,52,969,1622,3425,11482,,1669,,5109,27774
"SINFRA",2017,411,393,659,207,4825,2812,6287,8376,18,10,3,310,818,4030,4278,66,602,1393,3233,2285,,462,,1622,3265
"SINFRA",2016,225,326,1490,296,2962,1003,1219,234,,10,5,247,1583,1788,3737,3,235,2433,2429,8890,,,,,
"SOUBRE",2018,6823,2128,463,210,5288,1977,968,208,155,35,44,1881,680,5980,3056,204,3128,1418,6820,5740,,3228,,6865,5105
"SOUBRE",2017,18120,1453,498,195,4606,1733,1026,276,629,26,54,1282,678,4932,3707,235,2203,1311,6347,7338,,1927,,3468,4397
"SOUBRE",2016,13589,961,731,146,3356,1261,1251,264,478,5,3,1006,875,4200,4339,117,1545,1294,6694,5886,,8,,30,44
"TABOU",2018,176,835,548,3050,3569,1368,255,200,17,47,45,626,719,3174,1537,72,736,910,2710,1801,,1633,,2828,8375
"TABOU",2017,449,993,538,266,3192,1368,283,184,1,24,52,857,780,3089,3266,13,808,928,2947,1286,,1496,,2657,7966
"TABOU",2016,436,552,802,363,2683,1212,280,126,37,17,5,412,987,2056,675,33,691,1179,2637,1202,,,,,
"TAI",2018,612,199,282,47,2827,453,283,51,1,8,,260,130,1766,295,,2230,318,3606,1515,,2093,,2087,1246
"TAI",2017,154,96,168,59,1976,392,150,72,,,,138,229,1549,531,,422,506,2863,742,,373,,1637,1211
"TAI",2016,78,49,178,65,1181,314,116,77,,,,48,243,1529,376,,187,618,3102,1193,,45,,452,231
"TANDA",2018,106,143,565,89,1370,242,381,99,,4,4,168,456,1189,1008,13,183,369,1163,765,,204,,2127,2114
"TANDA",2017,71,143,685,124,1678,308,408,86,1,,1,144,593,1341,965,,142,742,1195,1189,,230,,1673,3178
"TANDA",2016,41,131,637,135,1544,270,446,145,,5,5,128,594,1105,975,23,151,871,1268,1130,,,,,
"TEHINI",2018,12,138,21,22,521,322,19,3,,9,,134,25,813,174,9,413,119,1448,689,,246,,719,515
"TEHINI",2017,13,77,7,14,260,259,23,9,,,2,73,35,446,43,45,178,100,843,101,,85,,590,55
"TEHINI",2016,118,25,77,37,144,65,19,4,5,2,,23,52,176,27,,100,170,359,56,,,,,
"TENGRELA",2018,4991,904,169,369,7307,2410,754,356,30,10,7,431,450,1365,305,97,750,648,2267,416,,330,,926,81
"TENGRELA",2017,2788,359,45,71,3588,1248,133,168,135,6,,178,64,939,5,5,455,229,1521,37,,271,,648,32
"TENGRELA",2016,100,310,171,206,1075,914,195,294,21,42,,72,106,1073,325,,152,329,1404,1118,,,,10,
"TIAPOUM",2018,3,12,205,48,1104,193,163,29,,6,,11,113,309,283,,94,444,425,682,,94,,815,790
"TIAPOUM",2017,93,18,353,86,968,189,171,10,,,,7,380,137,264,,14,1035,358,533,,7,,467,328
"TIAPOUM",2016,,,287,75,621,157,160,37,,,,,304,61,663,,,976,237,1796,,,,,
"TIASSALE",2018,197,368,1001,449,4221,1279,1489,196,16,22,57,369,685,4287,3060,596,1014,1258,4925,7684,,1058,,2193,11039
"TIASSALE",2017,177,318,1174,328,4108,1267,1343,309,59,31,36,318,734,4708,6176,482,1090,1808,5325,8304,,1047,,2280,7437
"TIASSALE",2016,136,339,1246,469,4061,1349,1853,791,18,6,67,331,771,3153,8582,414,671,1607,4144,14500,,,,,
"TIEBISSOU",2018,208,354,299,151,2508,1324,345,220,,6,4,329,389,3332,1661,106,961,754,4746,3539,,774,,2548,2197
"TIEBISSOU",2017,299,246,704,163,2453,865,414,153,,2,,244,326,2555,1511,16,659,1098,3866,2946,,517,,2941,1829
"TIEBISSOU",2016,445,158,731,193,1833,588,657,205,,1,,136,279,1568,862,14,355,571,2766,1552,,146,,1325,472
"TOUBA",2018,6835,409,23,,19266,1714,6528,151,62,7,,173,4,1122,4496,,444,117,1569,8624,,914,,3933,181880
"TOUBA",2017,2083,398,1927,61,11784,947,5118,204,13,31,2,363,10,1086,7549,231,512,90,1729,9022,,497,,2875,109106
"TOUBA",2016,770,188,117,5,4961,1057,2018,354,,,,173,18,1445,20277,,293,110,1871,20829,,305,,1812,43522
"TOULEUPLEU",2018,69,70,89,9,848,312,98,16,,1,,75,38,703,103,,211,130,1235,504,,202,,870,450
"TOULEUPLEU",2017,62,38,52,13,642,252,56,39,7,1,,26,45,558,388,,52,87,835,1259,,71,,670,3707
"TOULEUPLEU",2016,17,36,57,37,511,219,61,36,,2,,44,92,604,88,,57,231,954,1182,,3,,10,5
"TOUMODI",2018,93,462,1954,374,5336,1421,2604,401,,34,45,479,2068,6799,6908,202,1801,5970,13308,9665,,1745,,8987,7486
"TOUMODI",2017,135,352,1851,492,4898,1189,2849,483,,6,6,355,2309,6114,6665,130,1685,6417,9362,11312,,1613,,5009,7373
"TOUMODI",2016,8,317,1733,480,5040,1186,3589,527,,6,3,296,2153,5947,7653,276,952,4859,8333,11947,,,,,
"TRANSUA",2018,1,23,1152,135,3069,592,945,144,,1,,25,496,1853,424,,34,579,1795,697,,110,,1866,775
"TRANSUA",2017,4,34,924,171,2695,526,668,147,,2,2,31,749,1777,406,52,41,924,1586,735,,27,,1377,838
"TRANSUA",2016,,86,584,149,2289,495,452,117,,,,87,455,1515,409,,65,710,1013,544,,,,,
"TREICHVILLE-MARCORY",2018,823,776,4931,470,6970,1171,4143,462,403,106,471,1330,5443,6867,13525,1425,3759,16476,22064,38958,,4114,,27122,49501
"TREICHVILLE-MARCORY",2017,2250,712,3333,213,10746,1458,5045,345,301,38,264,2236,2401,7628,11934,822,3752,14757,20354,24780,,2852,,9620,26655
"TREICHVILLE-MARCORY",2016,2339,736,4945,454,12410,1652,6423,499,411,81,374,1334,3268,9826,19807,1884,5656,35507,37520,48313,,,,,
"VAVOUA",2018,329,1611,228,199,3740,2185,120,148,3,23,26,1297,372,4684,878,62,1456,808,5004,2091,,1818,,5178,4564
"VAVOUA",2017,861,510,533,175,5288,1476,220,95,42,17,7,530,386,3714,488,1,336,655,4352,545,,595,,4966,1172
"VAVOUA",2016,537,226,834,275,4481,1045,246,114,8,18,10,134,637,2139,554,10,165,964,2741,2028,,15,,788,1622
"YAKASSE-ATTOBROU",2018,46,256,68,28,1114,289,51,29,4,32,10,129,15,883,68,15,63,8,575,54,,4,,151,50
"YAKASSE-ATTOBROU",2017,6,68,13,9,832,219,33,28,,,,33,2,380,104,,10,,,5,,2,,,
"YAKASSE-ATTOBROU",2016,4,52,10,16,721,156,45,22,,2,,,,,,,,,,,,,,,
"YAMOUSSOUKRO",2018,5564,1318,2164,319,8655,2378,3868,593,213,32,59,1327,2496,10613,10783,396,2563,5501,14921,16750,,3841,,11298,31083
"YAMOUSSOUKRO",2017,3358,842,1934,248,7664,1836,4122,845,93,32,25,895,2291,9135,11107,204,2007,9577,12475,16056,,2441,,8196,17162
"YAMOUSSOUKRO",2016,5168,972,2635,547,7119,2029,4365,852,87,79,80,803,3116,8413,13957,425,2737,6874,13479,27344,,,,,
"YOPOUGON-EST",2018,653,2697,1277,356,6845,2131,1751,438,36,108,103,1816,863,5235,3757,363,2743,2585,6106,5525,,2227,,4043,7342
"YOPOUGON-EST",2017,600,3749,1296,358,6515,2234,1739,548,49,169,67,2361,1153,3582,3759,1341,2099,2430,4636,8459,,1272,,2073,7931
"YOPOUGON-EST",2016,1279,1860,1786,537,5867,1705,1697,523,97,132,46,810,990,1322,4164,383,782,1945,1870,3088,,,,,
"YOPOUGON-OUEST SONGON",2018,350,2186,9359,1586,9325,2753,5670,1468,68,264,143,1798,10361,3434,15294,1025,3774,23866,6750,31127,,2490,,4932,33035
"YOPOUGON-OUEST SONGON",2017,1128,2294,6152,4535,12329,5164,12508,6255,220,216,329,1721,9090,9363,21846,1978,6697,47720,36301,58786,,5601,,32457,54820
"YOPOUGON-OUEST SONGON",2016,1050,1246,10349,2763,12565,3155,11306,2710,291,302,472,1716,12131,10773,41965,2072,10972,64521,57901,105333,,,,,
"ZOUAN-HOUNIEN",2018,1670,478,502,193,4022,1329,440,120,107,11,25,382,424,2731,262,49,724,701,3927,358,,754,,2603,458
"ZOUAN-HOUNIEN",2017,1822,474,173,148,3652,959,607,112,7,5,17,442,258,2365,211,13,785,480,3591,468,,541,,1379,379
"ZOUAN-HOUNIEN",2016,1409,389,174,135,2658,672,599,76,,1,1,307,299,1451,458,4,618,445,2012,1133,,,,9,
"ZOUKOUGBEU",2018,38,333,211,72,876,548,48,24,8,37,36,323,289,1455,391,46,631,520,1459,1006,,999,,1512,1459
"ZOUKOUGBEU",2017,12,161,197,54,668,433,124,17,,,4,129,351,1176,309,,203,731,1471,713,,324,,4087,1122
"ZOUKOUGBEU",2016,21,253,107,74,820,484,31,23,,,,138,300,858,494,,261,902,1825,935,,70,,998,204
"ZUENOULA",2018,176,1441,424,145,3368,1826,638,396,2,5,3,1133,491,4197,2044,38,1550,774,4188,7006,,1560,,2069,5471
"ZUENOULA",2017,231,591,502,154,3677,1611,585,505,31,4,4,488,551,3925,2703,7,813,1342,4377,6177,,977,,2251,4270
"ZUENOULA",2016,126,270,894,271,4236,1644,1982,1746,11,11,9,202,892,3145,7902,49,288,2020,3544,13444,,81,,770,2993
